name,amount
Apricots fresh,0.23
Strawberries organic fresh,0.23
Tomatoes fresh,0.23
Nectarines fresh,0.22
Sale processed,0.22kg
Sour Cream refrigerated,0.22
Peaches fresh,0.22
Plums fresh,0.22
Pomelos specialty fresh,0.22
Wheat Winter dry,0.22
Mandarin Oranges Satsuma fresh,0.21
Boysenberries fresh,0.20
Cilantro fresh,0.20
Cocoa Powder processed,0.20
Apples organic,0.19
Lettuce Iceberg fresh,0.19
Olives Manzanillo fresh,0.19
Dates Deglet Noor Grade C ‘US Choice’ fresh,0.18
Blood Oranges fresh,0.17
Radishes Daikon fresh,0.16
Guava Tropical Pink fresh,0.15
Parsley fresh,0.15
Cream whipped fluid refrigerated,0.14
Cantaloupe fresh,0.14
Cucumbers fresh,0.14
Melons fresh,0.14
Honeydew Melon fresh,0.14
Watermelon fresh,0.14
Pears specialty fresh,0.14
Pumpkins fresh,0.14
Lettuce crisp head fresh,0.13
Oranges Naval or Valencias fresh,0.13
Bitter Melon fresh,0.12
Cabbage fresh,0.12
Celery fresh,0.12
Carrots fresh,0.11
Chinese Cabbage fresh,0.09
Eggplant Asian style fresh,0.09
Lemons Lisbon variety fresh,0.09
Lettuce loose-leaf fresh,0.08
Pineapple fresh,0.08
Mangos organic fresh,0.07
Lemongrass fresh,0.07
Tomatoes cherry fresh,0.07
Beets Sugarbeets fresh,0.05
Sugarcane fresh,0.04
Mushrooms Portabella or button fresh,0.00
Beef (Bovine Meat),68.8
Mutton & Goat Meat,64.2
Animal Fats,40.1
Meat,35.9
Offals (internal organs entrails),35.9
Meat Other,35.7
Fats Animals Raw,35.6
Coffee,10.1
Pig meat,7.9
Poultry Meat (Chicken Turkey etc.),5.4
Cephalopods (Squid Octopus etc.),5.4
Crustaceans (Crab Lobster Prawn etc.),5.4
Demersal Fish,5.4
Fish Seafood,5.4
Freshwater Fish,5.4
Marine Fish Other,5.4
Pelagic Fish,5.4
Olive Oil,4.5
Olives,4.5
Sesame Seeds,4.2
Sesame Seed Oil,4.2
Rice (Milled Equivalent),3.9
Barley,3.8
Beer,3.8
Pulses Other,3.5
Beverages Alcoholic,3.5-3.3
Cocoa Beans,3.4
Palm Oil,3.3
Pulses,3.3
Sunflower Seed Oil,3.3
Pimento,3.2
Vegetable Oils,3.2
Rape and Mustard Oil,2.9
Rape and Mustardseed,2.9
Pepper,2.5
Beverages Fermented,2.4
Cream,2.4
Oil Crops Oil Other,2.4-2.3kg
Vegetables Other,2.2
Coconut Oil,2.1
Coconuts - Incl Copra,2.1
Soybeans,2.0
Tree-nuts,2.0
Pineapple,1.9
Tea,1.9
Milk - Excluding Butter,1.8
Butter Ghee,1.8
Cereals - Excluding Beer,1.8
Cereals Other,1.8
Oilcrops,1.8
Soyabean Oil,1.8
Plantains,1.6
Spices,1.6
Spices Other,1.6
Vegetables,1.6
Groundnuts (Shelled Eq),1.4
Bananas,1.4
Peas,1.2
Dates,1.1
Honey,1.0
Oats,1.0
Rye,1.0
Wheat,1.0
Wine,1.0
Fruits Excluding Wine,0.9
Fruits Other,0.9
Groundnut Oil,0.9
Beans,0.8
Grapefruit,0.8
Grapes,0.8
Apples,0.7
Citrus Other,0.7
Maize,0.7
Lemons,0.6
Limes,0.6
Oranges Mandarins,0.6
Onions,0.5
Maize Germ Oil,0.4
Starchy Roots,0.4
Sugar & Sweeteners,0.1
Sugar (Raw Equivalent),0.1
Burger veggie,1
Cappuccino large,0.236
Latte large,0.343
